"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/03/2024";"0000";"25,5";"26,2";"25,4";"90,0";"90,0";"87,0";"23,8";"24,0";"23,5";"1002,4";"1002,4";"1001,8";"1,0";"30,0";"2,2";"";"0,0"
"01/03/2024";"0100";"24,6";"25,5";"24,6";"92,0";"92,0";"90,0";"23,2";"23,8";"23,2";"1002,7";"1002,7";"1002,4";"0,2";"33,0";"1,8";"";"0,0"
"01/03/2024";"0200";"24,2";"24,6";"24,1";"93,0";"93,0";"92,0";"22,9";"23,3";"22,8";"1002,4";"1002,7";"1002,2";"1,0";"15,0";"1,6";"";"0,0"
"01/03/2024";"0300";"24,5";"24,6";"24,1";"93,0";"93,0";"92,0";"23,4";"23,4";"22,8";"1001,9";"1002,4";"1001,9";"1,5";"19,0";"2,2";"";"0,0"
"01/03/2024";"0400";"25,0";"25,0";"24,5";"94,0";"94,0";"93,0";"23,9";"23,9";"23,3";"1001,2";"1001,9";"1001,2";"1,7";"5,0";"3,9";"";"0,0"
"01/03/2024";"0500";"24,6";"25,0";"24,6";"94,0";"94,0";"93,0";"23,5";"23,8";"23,5";"1000,8";"1001,2";"1000,8";"0,9";"355,0";"3,2";"";"0,0"
"01/03/2024";"0600";"24,3";"24,7";"24,3";"94,0";"94,0";"93,0";"23,2";"23,6";"23,2";"1000,6";"1000,8";"1000,4";"0,7";"349,0";"2,5";"";"0,0"
"01/03/2024";"0700";"23,5";"24,4";"23,4";"94,0";"94,0";"94,0";"22,5";"23,3";"22,3";"1000,4";"1000,6";"1000,4";"0,3";"339,0";"1,7";"";"0,0"
"01/03/2024";"0800";"23,0";"23,6";"23,0";"94,0";"94,0";"94,0";"22,0";"22,6";"22,0";"1000,7";"1000,9";"1000,4";"0,2";"331,0";"1,3";"";"0,0"
"01/03/2024";"0900";"22,7";"23,0";"22,5";"94,0";"95,0";"94,0";"21,8";"22,0";"21,5";"1001,3";"1001,3";"1000,7";"0,3";"78,0";"1,0";"23,60";"0,2"
"01/03/2024";"1000";"26,1";"26,2";"22,7";"93,0";"95,0";"93,0";"24,9";"25,0";"21,8";"1002,2";"1002,2";"1001,3";"0,9";"252,0";"1,6";"600,60";"0,0"
"01/03/2024";"1100";"28,8";"28,8";"26,1";"77,0";"93,0";"77,0";"24,4";"25,4";"23,9";"1002,9";"1002,9";"1002,2";"1,4";"312,0";"3,9";"1458,70";"0,0"
"01/03/2024";"1200";"29,8";"30,2";"28,3";"70,0";"78,0";"69,0";"23,8";"24,5";"23,1";"1002,9";"1002,9";"1002,7";"2,2";"343,0";"4,6";"2165,90";"0,0"
"01/03/2024";"1300";"31,5";"32,2";"29,1";"62,0";"73,0";"60,0";"23,4";"24,6";"23,2";"1002,2";"1002,9";"1002,2";"2,6";"23,0";"5,0";"2758,00";"0,0"
"01/03/2024";"1400";"32,7";"33,3";"30,9";"60,0";"64,0";"56,0";"23,9";"24,2";"22,6";"1001,7";"1002,2";"1001,7";"1,6";"330,0";"4,8";"3409,80";"0,0"
"01/03/2024";"1500";"32,2";"34,3";"32,1";"58,0";"60,0";"51,0";"22,9";"24,0";"22,0";"1000,9";"1001,7";"1000,9";"1,7";"15,0";"6,1";"2959,00";"0,0"
"01/03/2024";"1600";"34,6";"34,9";"32,3";"50,0";"59,0";"45,0";"22,6";"23,3";"20,8";"1000,0";"1000,9";"1000,0";"2,7";"342,0";"5,3";"3319,20";"0,0"
"01/03/2024";"1700";"34,8";"35,6";"34,0";"46,0";"50,0";"45,0";"21,5";"22,9";"20,7";"999,0";"1000,0";"999,0";"1,8";"73,0";"5,1";"3332,10";"0,0"
