"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/03/2024";"0000";"25,4";"25,7";"25,3";"75,0";"77,0";"75,0";"20,7";"21,1";"20,7";"948,5";"948,5";"946,9";"1,1";"231,0";"7,1";"";"0,0"
"01/03/2024";"0100";"24,2";"25,4";"24,2";"82,0";"82,0";"75,0";"20,9";"21,0";"20,7";"948,8";"949,0";"948,4";"2,5";"212,0";"4,0";"";"0,0"
"01/03/2024";"0200";"23,3";"24,4";"23,3";"86,0";"86,0";"81,0";"20,8";"21,2";"20,6";"948,4";"948,8";"948,2";"1,5";"63,0";"4,3";"";"0,0"
"01/03/2024";"0300";"23,7";"23,8";"23,2";"84,0";"88,0";"84,0";"20,9";"21,1";"20,8";"947,9";"948,6";"947,9";"1,1";"20,0";"3,2";"";"0,0"
"01/03/2024";"0400";"22,9";"23,7";"22,7";"89,0";"89,0";"84,0";"20,9";"21,0";"20,6";"947,6";"948,1";"947,6";"1,1";"334,0";"2,4";"";"0,0"
"01/03/2024";"0500";"22,6";"23,1";"22,4";"91,0";"91,0";"89,0";"21,1";"21,3";"20,6";"947,3";"947,8";"947,3";"1,0";"152,0";"2,1";"";"0,0"
"01/03/2024";"0600";"22,3";"22,7";"22,3";"92,0";"92,0";"91,0";"21,0";"21,2";"20,9";"946,4";"947,3";"946,4";"0,6";"15,0";"1,4";"";"0,0"
"01/03/2024";"0700";"22,3";"22,7";"22,3";"92,0";"93,0";"91,0";"21,0";"21,3";"20,9";"946,3";"946,5";"946,1";"1,4";"347,0";"2,6";"";"0,0"
"01/03/2024";"0800";"22,2";"22,5";"22,2";"93,0";"93,0";"92,0";"21,0";"21,2";"20,9";"945,8";"946,3";"945,7";"1,1";"140,0";"2,1";"";"0,0"
"01/03/2024";"0900";"22,4";"22,4";"22,1";"93,0";"93,0";"93,0";"21,2";"21,2";"20,9";"945,5";"945,8";"945,5";"0,3";"282,0";"1,6";"";"0,0"
"01/03/2024";"1000";"22,5";"22,5";"22,1";"92,0";"93,0";"92,0";"21,1";"21,2";"20,8";"946,2";"946,2";"945,4";"1,5";"226,0";"2,8";"156,90";"0,0"
"01/03/2024";"1100";"23,5";"23,5";"22,5";"88,0";"92,0";"88,0";"21,3";"21,4";"21,1";"947,0";"947,0";"946,2";"1,7";"234,0";"2,3";"456,50";"0,0"
"01/03/2024";"1200";"25,6";"25,9";"23,5";"75,0";"88,0";"75,0";"20,8";"22,1";"20,7";"947,7";"947,7";"947,0";"1,3";"260,0";"2,5";"1387,80";"0,0"
"01/03/2024";"1300";"27,9";"28,0";"25,5";"67,0";"75,0";"67,0";"21,3";"21,6";"20,4";"947,6";"947,8";"947,6";"1,5";"296,0";"3,8";"2303,00";"0,0"
"01/03/2024";"1400";"28,7";"29,1";"27,2";"62,0";"68,0";"60,0";"20,7";"21,4";"20,1";"947,1";"947,6";"947,1";"2,6";"232,0";"5,2";"2874,20";"0,0"
"01/03/2024";"1500";"30,3";"30,6";"28,3";"60,0";"64,0";"56,0";"21,6";"21,6";"20,1";"946,8";"947,2";"946,8";"3,1";"237,0";"5,5";"2889,50";"0,0"
"01/03/2024";"1600";"31,1";"31,1";"29,7";"54,0";"60,0";"54,0";"20,7";"21,3";"19,8";"946,2";"946,8";"946,2";"4,1";"217,0";"7,8";"2337,60";"0,0"
"01/03/2024";"1700";"30,3";"31,6";"30,1";"58,0";"58,0";"52,0";"20,9";"21,6";"20,0";"945,4";"946,2";"945,3";"4,8";"217,0";"8,1";"2393,50";"0,0"
