"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/03/2024";"0000";"25,4";"25,7";"25,3";"75,0";"77,0";"75,0";"20,7";"21,1";"20,7";"948,5";"948,5";"946,9";"1,1";"231,0";"7,1";"";"0,0"
"01/03/2024";"0100";"24,2";"25,4";"24,2";"82,0";"82,0";"75,0";"20,9";"21,0";"20,7";"948,8";"949,0";"948,4";"2,5";"212,0";"4,0";"";"0,0"
"01/03/2024";"0200";"23,3";"24,4";"23,3";"86,0";"86,0";"81,0";"20,8";"21,2";"20,6";"948,4";"948,8";"948,2";"1,5";"63,0";"4,3";"";"0,0"
"01/03/2024";"0300";"23,7";"23,8";"23,2";"84,0";"88,0";"84,0";"20,9";"21,1";"20,8";"947,9";"948,6";"947,9";"1,1";"20,0";"3,2";"";"0,0"
"01/03/2024";"0400";"22,9";"23,7";"22,7";"89,0";"89,0";"84,0";"20,9";"21,0";"20,6";"947,6";"948,1";"947,6";"1,1";"334,0";"2,4";"";"0,0"
"01/03/2024";"0500";"22,6";"23,1";"22,4";"91,0";"91,0";"89,0";"21,1";"21,3";"20,6";"947,3";"947,8";"947,3";"1,0";"152,0";"2,1";"";"0,0"
"01/03/2024";"0600";"22,3";"22,7";"22,3";"92,0";"92,0";"91,0";"21,0";"21,2";"20,9";"946,4";"947,3";"946,4";"0,6";"15,0";"1,4";"";"0,0"
"01/03/2024";"0700";"22,3";"22,7";"22,3";"92,0";"93,0";"91,0";"21,0";"21,3";"20,9";"946,3";"946,5";"946,1";"1,4";"347,0";"2,6";"";"0,0"
"01/03/2024";"0800";"22,2";"22,5";"22,2";"93,0";"93,0";"92,0";"21,0";"21,2";"20,9";"945,8";"946,3";"945,7";"1,1";"140,0";"2,1";"";"0,0"
"01/03/2024";"0900";"22,4";"22,4";"22,1";"93,0";"93,0";"93,0";"21,2";"21,2";"20,9";"945,5";"945,8";"945,5";"0,3";"282,0";"1,6";"";"0,0"
"01/03/2024";"2300";"24,1";"24,3";"23,9";"74,0";"80,0";"74,0";"19,3";"20,3";"19,2";"948,2";"948,2";"947,8";"2,0";"185,0";"3,1";"";"0,0"
"02/03/2024";"0000";"23,4";"24,1";"23,3";"79,0";"79,0";"74,0";"19,5";"19,5";"19,1";"948,6";"948,6";"948,1";"2,2";"172,0";"4,2";"";"0,0"
"02/03/2024";"0100";"22,1";"23,4";"22,1";"72,0";"79,0";"71,0";"16,8";"19,5";"16,8";"949,2";"949,2";"948,6";"3,6";"165,0";"7,9";"";"0,0"
"02/03/2024";"0200";"21,8";"22,2";"21,8";"72,0";"72,0";"70,0";"16,5";"16,8";"16,4";"949,2";"949,3";"949,1";"3,1";"168,0";"6,3";"";"0,0"
"02/03/2024";"0300";"21,9";"21,9";"21,5";"70,0";"74,0";"70,0";"16,1";"16,7";"16,1";"948,9";"949,3";"948,9";"3,9";"181,0";"6,2";"";"0,0"
"02/03/2024";"0400";"21,1";"21,9";"21,1";"73,0";"73,0";"70,0";"16,0";"16,2";"16,0";"948,6";"949,0";"948,6";"3,1";"179,0";"6,3";"";"0,0"
"02/03/2024";"0500";"20,1";"21,1";"20,1";"78,0";"78,0";"72,0";"16,1";"16,2";"15,8";"948,2";"948,6";"948,2";"0,6";"284,0";"6,3";"";"0,0"
"02/03/2024";"0600";"19,6";"20,1";"19,1";"82,0";"86,0";"78,0";"16,5";"16,8";"16,2";"947,8";"948,2";"947,8";"1,0";"201,0";"2,0";"";"0,0"
