,Média,Mediana,Moda,Desvio Padrão,Variância,Curtose,Assimetria,1º Quartil,2º Quartil (Mediana),3º Quartil
"25,5",22.537561942517346,22.7,22.8,1.919476822522477,3.6843912722009846,0.2418303270399198,-0.39082984418120376,21.5,22.7,23.8
"26,2",22.978889990089197,23.1,23.4,1.9971905755903925,3.9887701952270835,0.3563666380769046,-0.1772173030412891,21.9,23.1,24.2
"25,4",22.413875123885035,22.6,22.8,1.947338881272972,3.79212871851747,0.18107801281058,-0.3530257125415085,21.3,22.6,23.7
"90,0",93.10009910802775,94.0,94.0,2.71658815072216,7.379851180644045,10.796376848345806,-2.8986956216977373,93.0,94.0,95.0
"90,0.1",93.24281466798811,94.0,94.0,2.709754280421165,7.342768260260826,10.60026193092055,-2.878573875195865,93.0,94.0,95.0
"87,0",92.0416253716551,94.0,94.0,4.113982609479733,16.924852911101674,8.135750124947378,-2.652132471702022,92.0,94.0,94.0
"23,8",21.353914767096136,21.6,22.3,1.6452634747839945,2.7068919014583037,0.2853452808538055,-0.7338105415343572,20.4,21.6,22.5
"24,0",21.655004955401388,21.9,21.8,1.5905403721913687,2.5298186755706578,0.3476473253358896,-0.7669838017105295,20.8,21.9,22.8
"23,5",21.190485629335978,21.5,21.7,1.651763326072702,2.7283220853587555,0.2324196519971875,-0.723323223425784,20.2,21.5,22.4
"1002,4",1004.316650148662,1004.2,1003.9,1.9852832245423528,3.9413494816492824,-0.19692973292094518,0.2782046691449179,1002.9,1004.2,1005.5
"1002,4.1",1004.4955401387513,1004.4,1004.1,1.9859601278947365,3.9440376295876787,-0.22003952000768878,0.250915582240315,1003.1,1004.4,1005.7
"1001,8",1004.079385530228,1003.9,1003.9,2.015458911030518,4.062074622052321,-0.20023543089017126,0.22491070334819463,1002.7,1003.9,1005.3
"1,0",0.7839444995044599,0.6,0.3,0.531917671839404,0.28293640961505184,1.4171345519676648,1.2341914262068827,0.4,0.6,1.1
"30,0",187.70564915758177,201.0,205.0,67.93464980878801,4615.1166446426605,1.177284374444549,-0.8113576016405963,174.0,201.0,217.0
"2,2",2.039246778989098,1.6,0.9,1.3623137077943819,1.8558986384444762,1.7436950911957205,1.3782178397979827,1.0,1.6,2.7
Unnamed: 17,,,,,,,,,,
"0,0",0.088800792864222,0.0,0.0,0.6953669302019031,0.4835351676184183,433.0721592752216,18.553740674867598,0.0,0.0,0.0
