"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2023";"0000";"20,5";"21,1";"20,4";"89,0";"89,0";"85,0";"18,7";"18,8";"18,4";"950,4";"950,4";"949,9";"1,4";"53,0";"2,5";"";"0,0"
"01/01/2023";"0100";"19,5";"20,5";"19,5";"91,0";"91,0";"89,0";"17,9";"18,7";"17,9";"950,2";"950,5";"950,2";"0,9";"115,0";"2,4";"";"0,0"
"01/01/2023";"0200";"19,1";"19,8";"19,1";"93,0";"93,0";"91,0";"17,9";"18,4";"17,8";"950,1";"950,3";"950,0";"1,1";"129,0";"1,8";"";"0,0"
"01/01/2023";"0300";"19,1";"19,2";"18,8";"94,0";"94,0";"92,0";"18,0";"18,0";"17,6";"949,8";"950,2";"949,8";"0,6";"267,0";"1,6";"";"0,0"
"01/01/2023";"0400";"19,1";"19,1";"18,7";"94,0";"94,0";"94,0";"18,1";"18,1";"17,7";"948,9";"949,9";"948,9";"0,8";"330,0";"1,9";"";"0,0"
"01/01/2023";"0500";"18,7";"19,3";"18,7";"93,0";"94,0";"93,0";"17,6";"18,2";"17,5";"948,1";"948,9";"948,1";"0,7";"348,0";"1,6";"";"0,0"
"01/01/2023";"0600";"18,5";"18,9";"18,5";"93,0";"93,0";"93,0";"17,4";"17,8";"17,4";"947,9";"948,1";"947,8";"0,7";"220,0";"1,5";"";"0,0"
"01/01/2023";"0700";"18,1";"18,6";"18,1";"94,0";"94,0";"93,0";"17,0";"17,5";"17,0";"948,1";"948,1";"947,8";"0,7";"173,0";"3,0";"";"0,0"
"01/01/2023";"0800";"17,7";"18,2";"17,7";"94,0";"94,0";"93,0";"16,7";"17,1";"16,6";"948,4";"948,4";"948,1";"0,7";"181,0";"1,9";"";"0,0"
"01/01/2023";"0900";"18,2";"18,2";"17,7";"94,0";"94,0";"94,0";"17,2";"17,2";"16,7";"949,4";"949,4";"948,4";"1,1";"224,0";"1,7";"80,00";"0,0"
"01/01/2023";"1000";"20,4";"20,4";"18,2";"88,0";"94,0";"88,0";"18,3";"18,8";"17,3";"949,8";"949,8";"949,4";"1,4";"148,0";"2,2";"708,70";"0,0"
"01/01/2023";"1100";"22,3";"22,3";"20,4";"77,0";"88,0";"77,0";"18,1";"18,5";"17,6";"950,4";"950,4";"949,8";"1,1";"131,0";"3,4";"1531,00";"0,0"
"01/01/2023";"1200";"24,5";"24,8";"22,1";"69,0";"77,0";"69,0";"18,5";"19,2";"17,5";"950,7";"950,7";"950,4";"0,8";"102,0";"2,6";"2262,40";"0,0"
"01/01/2023";"1300";"25,5";"26,1";"24,0";"63,0";"71,0";"62,0";"17,8";"19,0";"17,3";"950,5";"950,8";"950,5";"1,1";"347,0";"3,1";"2846,20";"0,0"
"01/01/2023";"1400";"27,0";"27,6";"25,4";"57,0";"64,0";"57,0";"17,8";"19,3";"17,2";"949,8";"950,5";"949,8";"1,1";"69,0";"4,0";"3301,40";"0,2"
"01/01/2023";"1500";"28,4";"28,6";"27,0";"52,0";"59,0";"50,0";"17,5";"19,5";"16,5";"949,0";"949,8";"949,0";"2,0";"344,0";"4,0";"3818,60";"0,0"
"01/01/2023";"1600";"29,8";"30,1";"28,1";"44,0";"55,0";"44,0";"16,3";"18,6";"16,3";"948,3";"949,0";"948,3";"1,1";"42,0";"3,5";"3518,00";"0,0"
"01/01/2023";"1700";"28,9";"29,8";"28,4";"55,0";"57,0";"44,0";"18,9";"19,2";"15,8";"947,6";"948,3";"947,6";"3,7";"334,0";"5,4";"2178,20";"0,0"
"01/01/2023";"1800";"28,8";"29,9";"28,7";"54,0";"57,0";"50,0";"18,5";"19,8";"17,9";"946,3";"947,6";"946,2";"1,9";"359,0";"5,4";"2300,20";"0,0"
"01/01/2023";"1900";"25,6";"28,8";"25,6";"66,0";"66,0";"54,0";"18,9";"19,7";"17,9";"946,8";"946,8";"946,3";"4,0";"158,0";"9,0";"335,70";"0,0"
"01/01/2023";"2000";"22,8";"25,6";"22,4";"74,0";"82,0";"66,0";"18,0";"20,0";"17,9";"947,2";"947,5";"946,8";"4,3";"35,0";"9,0";"357,00";"0,0"
"01/01/2023";"2100";"23,4";"23,6";"22,1";"75,0";"78,0";"71,0";"18,8";"18,8";"17,4";"947,3";"947,3";"947,0";"0,9";"61,0";"6,1";"353,70";"0,0"
"01/01/2023";"2200";"22,0";"23,4";"22,0";"77,0";"77,0";"73,0";"17,9";"18,8";"17,7";"948,1";"948,1";"947,1";"1,3";"225,0";"3,1";"59,20";"0,0"
"01/01/2023";"2300";"22,3";"22,3";"21,3";"77,0";"82,0";"77,0";"18,1";"18,5";"17,9";"948,6";"948,6";"948,0";"2,0";"170,0";"3,2";"";"0,0"
"02/01/2023";"0000";"22,1";"22,7";"22,1";"78,0";"78,0";"74,0";"18,0";"18,1";"17,8";"949,0";"949,1";"948,6";"2,5";"97,0";"5,9";"";"0,0"
"02/01/2023";"0100";"21,3";"22,1";"21,3";"87,0";"87,0";"78,0";"19,0";"19,0";"18,0";"949,4";"949,4";"948,9";"0,7";"11,0";"5,4";"";"0,0"
"02/01/2023";"0200";"21,3";"21,6";"21,3";"86,0";"89,0";"86,0";"18,9";"19,5";"18,9";"949,4";"949,5";"949,3";"3,8";"38,0";"5,3";"";"0,0"
"02/01/2023";"0300";"20,7";"21,3";"20,4";"88,0";"89,0";"86,0";"18,7";"19,0";"18,4";"948,4";"949,4";"948,4";"3,0";"72,0";"6,7";"";"0,0"
"02/01/2023";"0400";"20,3";"20,8";"20,1";"87,0";"88,0";"87,0";"18,1";"18,7";"17,9";"947,7";"948,4";"947,7";"3,2";"69,0";"4,9";"";"0,0"
"02/01/2023";"0500";"19,7";"20,3";"19,6";"88,0";"89,0";"87,0";"17,7";"18,1";"17,5";"947,2";"947,7";"947,2";"0,6";"29,0";"4,5";"";"0,0"
"02/01/2023";"0600";"19,4";"19,7";"19,2";"89,0";"90,0";"88,0";"17,5";"17,7";"17,4";"947,3";"947,5";"947,1";"1,6";"96,0";"3,0";"";"0,0"
"02/01/2023";"0700";"18,3";"19,4";"18,3";"91,0";"91,0";"89,0";"16,9";"17,5";"16,9";"947,4";"947,4";"947,0";"0,4";"295,0";"3,0";"";"0,0"
"02/01/2023";"0800";"18,2";"18,3";"18,0";"93,0";"93,0";"91,0";"17,0";"17,1";"16,7";"947,3";"947,4";"947,3";"0,4";"267,0";"1,3";"";"0,0"
"02/01/2023";"0900";"18,5";"18,6";"17,9";"93,0";"93,0";"93,0";"17,3";"17,4";"16,8";"947,6";"947,6";"947,3";"0,9";"187,0";"2,2";"65,30";"0,0"
"02/01/2023";"1000";"21,1";"21,3";"18,5";"81,0";"93,0";"80,0";"17,7";"18,5";"17,3";"947,8";"947,8";"947,6";"2,0";"108,0";"3,7";"706,80";"0,0"
"02/01/2023";"1100";"23,2";"23,4";"21,1";"71,0";"81,0";"69,0";"17,6";"18,5";"17,0";"948,1";"948,1";"947,8";"1,4";"41,0";"3,7";"1591,90";"0,0"
"02/01/2023";"1200";"25,2";"25,5";"23,1";"61,0";"72,0";"61,0";"17,2";"18,9";"17,2";"948,1";"948,2";"948,0";"2,8";"53,0";"4,9";"2413,60";"0,0"
"02/01/2023";"1300";"27,4";"27,5";"25,2";"56,0";"64,0";"54,0";"17,7";"18,3";"16,9";"947,8";"948,2";"947,8";"2,3";"108,0";"4,9";"3084,10";"0,0"
"02/01/2023";"1400";"28,0";"28,3";"26,7";"54,0";"57,0";"52,0";"17,9";"18,4";"16,2";"947,1";"947,8";"947,1";"2,3";"46,0";"5,7";"3620,50";"0,0"
"02/01/2023";"1500";"28,6";"29,2";"27,8";"51,0";"55,0";"49,0";"17,4";"18,6";"16,7";"946,1";"947,1";"946,1";"2,2";"19,0";"5,3";"3853,60";"0,0"
"02/01/2023";"1600";"28,7";"29,7";"28,5";"50,0";"55,0";"49,0";"17,4";"19,1";"17,1";"945,3";"946,1";"945,3";"1,5";"358,0";"6,3";"2321,00";"0,0"
"02/01/2023";"1700";"30,3";"30,3";"28,6";"49,0";"55,0";"47,0";"18,4";"19,3";"17,2";"943,8";"945,3";"943,8";"1,2";"162,0";"5,0";"1673,20";"0,0"
"02/01/2023";"1800";"29,6";"31,3";"29,2";"47,0";"51,0";"45,0";"16,9";"18,8";"16,6";"943,2";"943,8";"943,2";"1,0";"150,0";"4,5";"1051,60";"0,0"
"02/01/2023";"1900";"27,1";"29,7";"27,1";"55,0";"57,0";"46,0";"17,2";"18,3";"16,7";"942,5";"943,2";"942,4";"4,5";"155,0";"7,6";"656,40";"0,0"
"02/01/2023";"2000";"27,4";"27,7";"26,8";"55,0";"58,0";"52,0";"17,7";"17,7";"16,1";"942,8";"942,9";"942,3";"2,7";"115,0";"7,6";"491,70";"0,0"
"02/01/2023";"2100";"23,5";"27,6";"23,5";"72,0";"72,0";"55,0";"18,2";"18,7";"17,3";"943,8";"943,8";"942,8";"1,8";"351,0";"8,4";"291,60";"0,8"
"02/01/2023";"2200";"22,0";"23,5";"21,5";"79,0";"84,0";"72,0";"18,2";"18,9";"17,9";"943,8";"944,0";"943,7";"0,8";"129,0";"5,1";"123,20";"0,4"
"02/01/2023";"2300";"20,7";"22,0";"20,7";"88,0";"89,0";"79,0";"18,7";"19,2";"18,3";"944,9";"944,9";"943,8";"3,0";"77,0";"4,0";"";"0,0"
"03/01/2023";"0000";"20,7";"21,1";"20,5";"89,0";"89,0";"87,0";"18,9";"19,0";"18,5";"945,4";"945,4";"944,9";"0,4";"280,0";"4,0";"";"0,0"
"03/01/2023";"0100";"19,8";"20,9";"19,8";"91,0";"91,0";"89,0";"18,4";"19,0";"18,4";"946,0";"946,0";"945,4";"0,4";"166,0";"1,4";"";"0,0"
"03/01/2023";"0200";"19,5";"20,2";"19,5";"92,0";"93,0";"91,0";"18,2";"18,9";"18,2";"945,7";"946,1";"945,6";"1,4";"343,0";"2,3";"";"0,0"
"03/01/2023";"0300";"20,3";"20,3";"19,4";"90,0";"93,0";"90,0";"18,6";"18,9";"18,1";"945,0";"945,8";"945,0";"0,6";"148,0";"2,3";"";"0,0"
"03/01/2023";"0400";"19,3";"20,3";"19,3";"91,0";"91,0";"88,0";"17,8";"18,7";"17,6";"944,4";"945,0";"944,2";"1,4";"226,0";"2,0";"";"0,0"
"03/01/2023";"0500";"19,2";"19,7";"19,1";"91,0";"92,0";"91,0";"17,8";"18,2";"17,6";"943,8";"944,4";"943,8";"0,7";"88,0";"2,1";"";"0,0"
"03/01/2023";"0600";"19,1";"19,4";"18,7";"93,0";"93,0";"91,0";"17,9";"18,0";"17,4";"943,7";"943,8";"943,6";"0,5";"318,0";"1,9";"";"0,0"
"03/01/2023";"0700";"18,3";"19,1";"18,3";"93,0";"93,0";"93,0";"17,1";"17,9";"17,1";"943,4";"943,7";"943,4";"0,7";"69,0";"1,7";"";"0,0"
"03/01/2023";"0800";"18,5";"18,7";"18,3";"94,0";"94,0";"93,0";"17,4";"17,6";"17,1";"944,0";"944,0";"943,3";"1,4";"228,0";"1,8";"";"0,0"
"03/01/2023";"0900";"19,2";"19,2";"18,5";"93,0";"94,0";"93,0";"18,0";"18,0";"17,4";"944,8";"944,8";"943,9";"0,9";"241,0";"1,8";"36,00";"0,0"
"03/01/2023";"1000";"20,2";"20,4";"19,2";"90,0";"93,0";"90,0";"18,5";"18,9";"18,0";"945,3";"945,4";"944,8";"1,7";"143,0";"2,5";"239,20";"0,2"
"03/01/2023";"1100";"22,4";"22,4";"20,2";"81,0";"90,0";"80,0";"18,9";"19,7";"18,4";"945,5";"945,5";"945,3";"0,9";"119,0";"2,5";"1066,50";"0,0"
"03/01/2023";"1200";"23,6";"23,9";"22,3";"75,0";"81,0";"74,0";"18,9";"19,7";"18,1";"946,2";"946,2";"945,5";"0,6";"96,0";"2,2";"1115,80";"0,0"
"03/01/2023";"1300";"24,7";"24,7";"23,6";"74,0";"76,0";"72,0";"19,8";"19,8";"18,6";"946,2";"946,3";"946,2";"1,7";"30,0";"3,6";"991,00";"0,0"
"03/01/2023";"1400";"26,6";"26,7";"24,7";"62,0";"74,0";"61,0";"18,7";"20,0";"18,4";"945,9";"946,3";"945,9";"2,9";"35,0";"5,1";"2308,90";"0,0"
"03/01/2023";"1500";"27,2";"27,9";"26,6";"59,0";"63,0";"56,0";"18,4";"19,5";"17,8";"945,2";"946,0";"945,2";"3,7";"354,0";"5,7";"2837,80";"0,0"
"03/01/2023";"1600";"28,3";"28,8";"27,2";"54,0";"60,0";"53,0";"18,1";"19,7";"17,7";"944,5";"945,2";"944,5";"2,7";"17,0";"6,5";"2848,20";"0,0"
"03/01/2023";"1700";"26,5";"28,3";"26,5";"60,0";"60,0";"53,0";"18,1";"18,6";"17,3";"944,4";"944,6";"944,3";"4,0";"301,0";"7,5";"604,50";"0,0"
"03/01/2023";"1800";"25,7";"26,5";"24,8";"67,0";"73,0";"60,0";"19,2";"20,1";"18,1";"943,2";"944,5";"943,2";"1,6";"302,0";"7,3";"736,30";"0,0"
"03/01/2023";"1900";"25,6";"26,6";"25,6";"68,0";"68,0";"59,0";"19,3";"19,6";"17,7";"942,5";"943,2";"942,5";"2,4";"199,0";"4,9";"1076,50";"0,0"
"03/01/2023";"2000";"26,9";"27,8";"25,6";"57,0";"69,0";"56,0";"17,5";"19,9";"17,5";"942,3";"942,5";"942,3";"1,3";"332,0";"3,5";"1308,50";"0,0"
"03/01/2023";"2100";"26,6";"27,6";"26,6";"60,0";"62,0";"57,0";"18,4";"18,8";"17,9";"942,3";"942,3";"942,2";"1,4";"90,0";"2,9";"671,80";"0,0"
"03/01/2023";"2200";"24,9";"26,6";"24,9";"74,0";"74,0";"60,0";"20,0";"20,1";"18,2";"942,9";"942,9";"942,3";"0,7";"315,0";"1,9";"91,40";"0,0"
"03/01/2023";"2300";"24,1";"24,9";"24,1";"78,0";"80,0";"75,0";"20,0";"20,4";"19,9";"944,0";"944,0";"942,9";"1,0";"96,0";"1,6";"";"0,0"
"04/01/2023";"0000";"23,1";"24,1";"22,9";"89,0";"89,0";"78,0";"21,2";"21,2";"20,0";"944,9";"944,9";"944,0";"0,3";"253,0";"1,6";"";"0,0"
"04/01/2023";"0100";"22,8";"23,2";"22,5";"90,0";"91,0";"89,0";"21,0";"21,5";"20,8";"945,0";"945,1";"944,8";"1,0";"235,0";"1,2";"";"0,0"
"04/01/2023";"0200";"22,3";"22,8";"22,3";"91,0";"91,0";"90,0";"20,7";"21,1";"20,7";"944,6";"945,0";"944,6";"0,7";"360,0";"1,3";"";"0,0"
"04/01/2023";"0300";"21,9";"22,3";"21,7";"92,0";"92,0";"90,0";"20,4";"20,7";"20,2";"943,9";"944,6";"943,9";"0,4";"282,0";"1,3";"";"0,0"
"04/01/2023";"0400";"21,3";"21,9";"21,0";"93,0";"93,0";"92,0";"20,1";"20,5";"19,7";"943,4";"943,9";"943,4";"0,7";"328,0";"1,7";"";"0,0"
"04/01/2023";"0500";"21,4";"21,7";"21,3";"93,0";"93,0";"93,0";"20,1";"20,4";"20,1";"943,0";"943,4";"942,9";"0,6";"34,0";"1,7";"";"0,0"
"04/01/2023";"0600";"21,4";"21,6";"21,2";"93,0";"93,0";"93,0";"20,2";"20,4";"19,9";"942,4";"943,0";"942,4";"0,9";"18,0";"1,7";"";"0,0"
"04/01/2023";"0700";"21,4";"21,5";"21,3";"92,0";"93,0";"92,0";"20,1";"20,3";"20,1";"942,7";"942,7";"942,4";"0,9";"234,0";"2,0";"";"0,0"
"04/01/2023";"0800";"21,4";"21,6";"21,3";"92,0";"93,0";"92,0";"20,0";"20,3";"20,0";"942,9";"943,0";"942,7";"0,6";"240,0";"2,5";"";"0,0"
"04/01/2023";"0900";"21,5";"21,6";"21,3";"92,0";"92,0";"92,0";"20,1";"20,2";"19,9";"943,2";"943,4";"942,9";"1,3";"61,0";"2,4";"57,50";"0,0"
"04/01/2023";"1000";"22,1";"22,1";"21,5";"90,0";"92,0";"90,0";"20,4";"20,5";"20,1";"943,6";"943,7";"943,2";"0,6";"51,0";"2,3";"191,90";"0,0"
"04/01/2023";"1100";"23,3";"23,3";"22,0";"85,0";"90,0";"85,0";"20,6";"20,7";"20,2";"944,2";"944,2";"943,6";"0,7";"287,0";"2,3";"487,90";"0,0"
