"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2023";"0000";"20,5";"21,1";"20,4";"89,0";"89,0";"85,0";"18,7";"18,8";"18,4";"950,4";"950,4";"949,9";"1,4";"53,0";"2,5";"";"0,0"
"01/01/2023";"0100";"19,5";"20,5";"19,5";"91,0";"91,0";"89,0";"17,9";"18,7";"17,9";"950,2";"950,5";"950,2";"0,9";"115,0";"2,4";"";"0,0"
"01/01/2023";"0200";"19,1";"19,8";"19,1";"93,0";"93,0";"91,0";"17,9";"18,4";"17,8";"950,1";"950,3";"950,0";"1,1";"129,0";"1,8";"";"0,0"
"01/01/2023";"0300";"19,1";"19,2";"18,8";"94,0";"94,0";"92,0";"18,0";"18,0";"17,6";"949,8";"950,2";"949,8";"0,6";"267,0";"1,6";"";"0,0"
"01/01/2023";"0400";"19,1";"19,1";"18,7";"94,0";"94,0";"94,0";"18,1";"18,1";"17,7";"948,9";"949,9";"948,9";"0,8";"330,0";"1,9";"";"0,0"
"01/01/2023";"0500";"18,7";"19,3";"18,7";"93,0";"94,0";"93,0";"17,6";"18,2";"17,5";"948,1";"948,9";"948,1";"0,7";"348,0";"1,6";"";"0,0"
"01/01/2023";"0600";"18,5";"18,9";"18,5";"93,0";"93,0";"93,0";"17,4";"17,8";"17,4";"947,9";"948,1";"947,8";"0,7";"220,0";"1,5";"";"0,0"
"01/01/2023";"0700";"18,1";"18,6";"18,1";"94,0";"94,0";"93,0";"17,0";"17,5";"17,0";"948,1";"948,1";"947,8";"0,7";"173,0";"3,0";"";"0,0"
"01/01/2023";"0800";"17,7";"18,2";"17,7";"94,0";"94,0";"93,0";"16,7";"17,1";"16,6";"948,4";"948,4";"948,1";"0,7";"181,0";"1,9";"";"0,0"
"01/01/2023";"2300";"22,3";"22,3";"21,3";"77,0";"82,0";"77,0";"18,1";"18,5";"17,9";"948,6";"948,6";"948,0";"2,0";"170,0";"3,2";"";"0,0"
"02/01/2023";"0000";"22,1";"22,7";"22,1";"78,0";"78,0";"74,0";"18,0";"18,1";"17,8";"949,0";"949,1";"948,6";"2,5";"97,0";"5,9";"";"0,0"
"02/01/2023";"0100";"21,3";"22,1";"21,3";"87,0";"87,0";"78,0";"19,0";"19,0";"18,0";"949,4";"949,4";"948,9";"0,7";"11,0";"5,4";"";"0,0"
"02/01/2023";"0200";"21,3";"21,6";"21,3";"86,0";"89,0";"86,0";"18,9";"19,5";"18,9";"949,4";"949,5";"949,3";"3,8";"38,0";"5,3";"";"0,0"
"02/01/2023";"0300";"20,7";"21,3";"20,4";"88,0";"89,0";"86,0";"18,7";"19,0";"18,4";"948,4";"949,4";"948,4";"3,0";"72,0";"6,7";"";"0,0"
"02/01/2023";"0400";"20,3";"20,8";"20,1";"87,0";"88,0";"87,0";"18,1";"18,7";"17,9";"947,7";"948,4";"947,7";"3,2";"69,0";"4,9";"";"0,0"
"02/01/2023";"0500";"19,7";"20,3";"19,6";"88,0";"89,0";"87,0";"17,7";"18,1";"17,5";"947,2";"947,7";"947,2";"0,6";"29,0";"4,5";"";"0,0"
"02/01/2023";"0600";"19,4";"19,7";"19,2";"89,0";"90,0";"88,0";"17,5";"17,7";"17,4";"947,3";"947,5";"947,1";"1,6";"96,0";"3,0";"";"0,0"
"02/01/2023";"0700";"18,3";"19,4";"18,3";"91,0";"91,0";"89,0";"16,9";"17,5";"16,9";"947,4";"947,4";"947,0";"0,4";"295,0";"3,0";"";"0,0"
"02/01/2023";"0800";"18,2";"18,3";"18,0";"93,0";"93,0";"91,0";"17,0";"17,1";"16,7";"947,3";"947,4";"947,3";"0,4";"267,0";"1,3";"";"0,0"
"02/01/2023";"2300";"20,7";"22,0";"20,7";"88,0";"89,0";"79,0";"18,7";"19,2";"18,3";"944,9";"944,9";"943,8";"3,0";"77,0";"4,0";"";"0,0"
"03/01/2023";"0000";"20,7";"21,1";"20,5";"89,0";"89,0";"87,0";"18,9";"19,0";"18,5";"945,4";"945,4";"944,9";"0,4";"280,0";"4,0";"";"0,0"
"03/01/2023";"0100";"19,8";"20,9";"19,8";"91,0";"91,0";"89,0";"18,4";"19,0";"18,4";"946,0";"946,0";"945,4";"0,4";"166,0";"1,4";"";"0,0"
"03/01/2023";"0200";"19,5";"20,2";"19,5";"92,0";"93,0";"91,0";"18,2";"18,9";"18,2";"945,7";"946,1";"945,6";"1,4";"343,0";"2,3";"";"0,0"
"03/01/2023";"0300";"20,3";"20,3";"19,4";"90,0";"93,0";"90,0";"18,6";"18,9";"18,1";"945,0";"945,8";"945,0";"0,6";"148,0";"2,3";"";"0,0"
"03/01/2023";"0400";"19,3";"20,3";"19,3";"91,0";"91,0";"88,0";"17,8";"18,7";"17,6";"944,4";"945,0";"944,2";"1,4";"226,0";"2,0";"";"0,0"
"03/01/2023";"0500";"19,2";"19,7";"19,1";"91,0";"92,0";"91,0";"17,8";"18,2";"17,6";"943,8";"944,4";"943,8";"0,7";"88,0";"2,1";"";"0,0"
"03/01/2023";"0600";"19,1";"19,4";"18,7";"93,0";"93,0";"91,0";"17,9";"18,0";"17,4";"943,7";"943,8";"943,6";"0,5";"318,0";"1,9";"";"0,0"
"03/01/2023";"0700";"18,3";"19,1";"18,3";"93,0";"93,0";"93,0";"17,1";"17,9";"17,1";"943,4";"943,7";"943,4";"0,7";"69,0";"1,7";"";"0,0"
"03/01/2023";"0800";"18,5";"18,7";"18,3";"94,0";"94,0";"93,0";"17,4";"17,6";"17,1";"944,0";"944,0";"943,3";"1,4";"228,0";"1,8";"";"0,0"
"03/01/2023";"2300";"24,1";"24,9";"24,1";"78,0";"80,0";"75,0";"20,0";"20,4";"19,9";"944,0";"944,0";"942,9";"1,0";"96,0";"1,6";"";"0,0"
"04/01/2023";"0000";"23,1";"24,1";"22,9";"89,0";"89,0";"78,0";"21,2";"21,2";"20,0";"944,9";"944,9";"944,0";"0,3";"253,0";"1,6";"";"0,0"
"04/01/2023";"0100";"22,8";"23,2";"22,5";"90,0";"91,0";"89,0";"21,0";"21,5";"20,8";"945,0";"945,1";"944,8";"1,0";"235,0";"1,2";"";"0,0"
"04/01/2023";"0200";"22,3";"22,8";"22,3";"91,0";"91,0";"90,0";"20,7";"21,1";"20,7";"944,6";"945,0";"944,6";"0,7";"360,0";"1,3";"";"0,0"
"04/01/2023";"0300";"21,9";"22,3";"21,7";"92,0";"92,0";"90,0";"20,4";"20,7";"20,2";"943,9";"944,6";"943,9";"0,4";"282,0";"1,3";"";"0,0"
"04/01/2023";"0400";"21,3";"21,9";"21,0";"93,0";"93,0";"92,0";"20,1";"20,5";"19,7";"943,4";"943,9";"943,4";"0,7";"328,0";"1,7";"";"0,0"
"04/01/2023";"0500";"21,4";"21,7";"21,3";"93,0";"93,0";"93,0";"20,1";"20,4";"20,1";"943,0";"943,4";"942,9";"0,6";"34,0";"1,7";"";"0,0"
"04/01/2023";"0600";"21,4";"21,6";"21,2";"93,0";"93,0";"93,0";"20,2";"20,4";"19,9";"942,4";"943,0";"942,4";"0,9";"18,0";"1,7";"";"0,0"
"04/01/2023";"0700";"21,4";"21,5";"21,3";"92,0";"93,0";"92,0";"20,1";"20,3";"20,1";"942,7";"942,7";"942,4";"0,9";"234,0";"2,0";"";"0,0"
"04/01/2023";"0800";"21,4";"21,6";"21,3";"92,0";"93,0";"92,0";"20,0";"20,3";"20,0";"942,9";"943,0";"942,7";"0,6";"240,0";"2,5";"";"0,0"
"04/01/2023";"2300";"21,3";"21,3";"20,8";"91,0";"91,0";"90,0";"19,8";"19,8";"19,3";"944,3";"944,3";"943,4";"0,5";"169,0";"5,6";"";"1,6"
"05/01/2023";"0000";"21,2";"21,5";"21,2";"87,0";"91,0";"87,0";"19,0";"19,9";"19,0";"944,9";"945,1";"944,3";"1,5";"218,0";"3,3";"";"0,2"
"05/01/2023";"0100";"19,7";"21,2";"19,7";"92,0";"92,0";"87,0";"18,4";"19,2";"18,4";"946,0";"946,0";"944,9";"2,3";"226,0";"4,7";"";"10,8"
"05/01/2023";"0200";"18,6";"19,8";"18,6";"93,0";"93,0";"92,0";"17,4";"18,5";"17,4";"945,9";"946,1";"945,9";"2,8";"244,0";"4,8";"";"1,0"
"05/01/2023";"0300";"18,6";"18,7";"18,5";"93,0";"94,0";"93,0";"17,6";"17,6";"17,3";"945,3";"945,9";"945,3";"2,7";"248,0";"4,6";"";"0,0"
"05/01/2023";"0400";"18,5";"18,7";"18,4";"93,0";"94,0";"93,0";"17,4";"17,6";"17,2";"944,9";"945,3";"944,9";"1,7";"231,0";"4,3";"";"0,4"
"05/01/2023";"0500";"18,2";"18,5";"18,2";"94,0";"94,0";"93,0";"17,2";"17,4";"17,2";"944,6";"944,9";"944,6";"2,4";"236,0";"3,9";"";"1,8"
"05/01/2023";"0600";"18,1";"18,3";"18,1";"94,0";"94,0";"94,0";"17,0";"17,3";"17,0";"944,4";"944,6";"944,4";"2,6";"223,0";"4,1";"";"0,2"
"05/01/2023";"0700";"18,2";"18,3";"18,1";"94,0";"94,0";"94,0";"17,2";"17,3";"17,0";"944,7";"944,7";"944,4";"2,0";"247,0";"4,1";"";"0,0"
"05/01/2023";"2300";"18,9";"19,3";"18,9";"89,0";"89,0";"88,0";"17,1";"17,3";"17,1";"948,6";"948,6";"947,8";"1,9";"211,0";"3,8";"";"0,2"
"06/01/2023";"0000";"18,8";"19,0";"18,8";"89,0";"89,0";"87,0";"16,9";"17,1";"16,7";"949,0";"949,0";"948,6";"2,2";"218,0";"3,9";"";"0,0"
"06/01/2023";"0100";"18,4";"18,8";"18,4";"93,0";"93,0";"89,0";"17,2";"17,2";"16,9";"949,7";"949,7";"949,1";"0,5";"290,0";"3,2";"";"1,0"
"06/01/2023";"0200";"18,3";"18,4";"18,2";"93,0";"93,0";"93,0";"17,2";"17,3";"17,1";"949,7";"949,8";"949,7";"0,5";"357,0";"0,9";"";"0,8"
"06/01/2023";"0300";"18,4";"18,4";"18,3";"94,0";"94,0";"93,0";"17,3";"17,4";"17,2";"949,3";"949,7";"949,3";"0,2";"256,0";"0,8";"";"0,6"
"06/01/2023";"0400";"18,3";"18,5";"18,3";"94,0";"94,0";"94,0";"17,3";"17,5";"17,2";"948,9";"949,3";"948,9";"0,7";"318,0";"1,0";"";"1,0"
"06/01/2023";"0500";"18,2";"18,4";"18,2";"94,0";"94,0";"94,0";"17,1";"17,4";"17,1";"948,8";"949,0";"948,8";"1,2";"231,0";"2,2";"";"1,6"
"06/01/2023";"0600";"18,0";"18,2";"18,0";"93,0";"94,0";"93,0";"16,8";"17,2";"16,8";"948,4";"948,8";"948,4";"0,5";"144,0";"1,7";"";"1,4"
"06/01/2023";"0700";"18,0";"18,2";"17,9";"93,0";"93,0";"92,0";"16,8";"17,0";"16,7";"948,6";"948,6";"948,3";"0,7";"216,0";"1,9";"";"0,2"
"06/01/2023";"0800";"17,9";"18,1";"17,9";"93,0";"93,0";"92,0";"16,7";"16,8";"16,7";"949,0";"949,0";"948,6";"0,5";"216,0";"1,7";"";"0,2"
"06/01/2023";"2300";"18,1";"18,7";"18,1";"76,0";"76,0";"70,0";"13,7";"13,8";"13,0";"952,2";"952,2";"951,4";"1,5";"202,0";"3,4";"";"0,0"
"07/01/2023";"0000";"17,3";"18,1";"17,3";"85,0";"85,0";"76,0";"14,7";"14,7";"13,9";"952,7";"952,7";"952,2";"1,2";"204,0";"3,2";"";"0,0"
"07/01/2023";"0100";"17,5";"17,5";"17,3";"86,0";"87,0";"83,0";"15,1";"15,2";"14,5";"953,2";"953,2";"952,7";"1,3";"196,0";"1,8";"";"0,0"
"07/01/2023";"0200";"17,4";"17,6";"17,4";"86,0";"86,0";"83,0";"14,9";"15,0";"14,6";"953,1";"953,2";"953,1";"1,2";"151,0";"2,0";"";"0,0"
"07/01/2023";"0300";"17,4";"17,4";"17,2";"85,0";"86,0";"84,0";"14,8";"15,0";"14,6";"952,6";"953,1";"952,6";"1,1";"227,0";"2,2";"";"0,0"
"07/01/2023";"0400";"17,3";"17,4";"17,2";"84,0";"87,0";"84,0";"14,6";"14,9";"14,6";"951,6";"952,6";"951,6";"0,9";"192,0";"2,5";"";"0,0"
"07/01/2023";"0500";"17,3";"17,5";"17,2";"87,0";"87,0";"84,0";"15,1";"15,1";"14,6";"951,5";"951,8";"951,3";"0,8";"313,0";"1,7";"";"0,0"
"07/01/2023";"0600";"17,0";"17,4";"17,0";"89,0";"89,0";"87,0";"15,2";"15,4";"15,0";"950,7";"951,5";"950,7";"1,5";"97,0";"2,4";"";"0,0"
"07/01/2023";"0700";"17,2";"17,2";"17,0";"89,0";"90,0";"88,0";"15,4";"15,5";"15,2";"951,0";"951,1";"950,7";"1,2";"197,0";"2,3";"";"0,0"
"07/01/2023";"0800";"17,1";"17,2";"17,1";"91,0";"91,0";"89,0";"15,5";"15,6";"15,4";"951,3";"951,5";"950,8";"1,6";"210,0";"2,4";"";"0,0"
"07/01/2023";"2300";"19,4";"19,9";"19,3";"77,0";"77,0";"75,0";"15,2";"15,5";"15,1";"952,2";"952,2";"951,6";"3,1";"178,0";"5,5";"";"0,0"
"08/01/2023";"0000";"18,9";"19,4";"18,9";"78,0";"78,0";"76,0";"14,9";"15,1";"14,7";"952,7";"952,7";"952,2";"2,7";"171,0";"5,8";"";"0,0"
"08/01/2023";"0100";"18,6";"18,9";"18,6";"79,0";"80,0";"78,0";"14,9";"15,0";"14,8";"952,9";"953,0";"952,7";"1,9";"176,0";"5,2";"";"0,0"
"08/01/2023";"0200";"18,5";"18,6";"18,4";"81,0";"81,0";"79,0";"15,1";"15,1";"14,9";"952,7";"952,9";"952,7";"1,3";"164,0";"4,7";"";"0,0"
"08/01/2023";"0300";"18,4";"18,5";"18,4";"81,0";"81,0";"79,0";"15,1";"15,1";"14,8";"952,2";"952,7";"952,2";"1,2";"209,0";"3,1";"";"0,0"
"08/01/2023";"0400";"18,4";"18,5";"18,4";"82,0";"82,0";"80,0";"15,2";"15,2";"14,9";"951,6";"952,3";"951,6";"0,9";"244,0";"2,2";"";"0,0"
"08/01/2023";"0500";"17,9";"18,4";"17,9";"86,0";"86,0";"82,0";"15,5";"15,6";"15,2";"951,0";"951,6";"951,0";"1,7";"219,0";"2,1";"";"0,0"
"08/01/2023";"0600";"17,8";"18,1";"17,7";"88,0";"88,0";"84,0";"15,8";"15,8";"15,3";"950,6";"951,0";"950,5";"1,2";"221,0";"2,1";"";"0,0"
"08/01/2023";"0700";"17,5";"17,8";"17,5";"88,0";"89,0";"88,0";"15,5";"15,8";"15,5";"950,2";"950,6";"950,2";"1,5";"234,0";"2,4";"";"0,0"
"08/01/2023";"0800";"17,4";"17,6";"17,4";"90,0";"90,0";"88,0";"15,8";"15,9";"15,5";"950,5";"950,5";"950,2";"0,7";"201,0";"2,1";"";"0,0"
"08/01/2023";"2300";"18,9";"19,2";"18,9";"93,0";"93,0";"92,0";"17,8";"17,8";"17,7";"950,4";"950,4";"949,8";"2,4";"155,0";"4,6";"";"3,2"
"09/01/2023";"0000";"18,7";"19,0";"18,7";"94,0";"94,0";"93,0";"17,6";"17,8";"17,6";"950,8";"950,8";"950,4";"2,6";"171,0";"4,4";"";"4,6"
"09/01/2023";"0100";"18,8";"18,9";"18,6";"94,0";"94,0";"94,0";"17,8";"17,9";"17,6";"951,1";"951,1";"950,8";"0,9";"336,0";"4,4";"";"6,2"
"09/01/2023";"0200";"18,9";"19,0";"18,8";"94,0";"94,0";"94,0";"17,8";"18,0";"17,8";"951,0";"951,2";"951,0";"1,1";"159,0";"2,1";"";"0,4"
"09/01/2023";"0300";"18,8";"19,0";"18,8";"94,0";"94,0";"94,0";"17,7";"17,9";"17,7";"950,6";"951,0";"950,6";"0,8";"150,0";"2,5";"";"1,0"
"09/01/2023";"0400";"18,8";"18,8";"18,7";"94,0";"94,0";"94,0";"17,8";"17,8";"17,6";"949,8";"950,6";"949,8";"0,9";"74,0";"1,5";"";"2,8"
"09/01/2023";"0500";"18,8";"18,9";"18,7";"94,0";"94,0";"94,0";"17,8";"17,9";"17,7";"949,3";"949,8";"949,3";"1,1";"160,0";"2,0";"";"0,8"
"09/01/2023";"0600";"18,9";"18,9";"18,8";"94,0";"94,0";"94,0";"17,8";"17,9";"17,8";"948,9";"949,3";"948,9";"0,4";"121,0";"2,0";"";"0,2"
